cliente,assistente
"Olá, estou com um problema com meu pedido. Ele ainda não chegou. (#001)","Olá! Desculpe pelo inconveniente. Por favor, forneça o número do seu pedido para que possamos verificar. (#001)"
"Meu pedido veio errado, recebi um item diferente. (#002)",Peço desculpas por isso. Você poderia nos dizer qual foi o item que veio errado e qual deveria ter vindo? (#002)
Eu gostaria de saber quanto tempo leva para a entrega. (#003),"Normalmente, nosso tempo de entrega é de aproximadamente 30 a 45 minutos. Pode variar dependendo do tráfego e da demanda. (#003)"
Posso alterar o endereço de entrega do meu pedido? (#004),"Sim, claro. Por favor, forneça o novo endereço para que possamos atualizar em nosso sistema. (#004)"
Qual é a política de reembolso da SuperFastFood? (#005),"Se houver algum problema com seu pedido, podemos oferecer um reembolso total ou parcial, dependendo do caso. Entre em contato com nosso suporte para mais detalhes. (#005)"
Meu pedido está atrasado. O que posso fazer? (#006),Pedimos desculpas pelo atraso. Estamos verificando com o entregador. Manteremos você informado sobre o status do seu pedido. (#006)
Como posso aplicar um código de desconto ao meu pedido? (#007),"Você pode inserir o código de desconto na seção de pagamento antes de finalizar o pedido. Se tiver problemas, estamos aqui para ajudar. (#007)"
Quais formas de pagamento vocês aceitam? (#008),"Aceitamos cartões de crédito, débito, PIX e dinheiro. Qualquer dúvida, estamos à disposição. (#008)"
Posso cancelar meu pedido? (#009),"Sim, você pode cancelar o pedido, desde que ainda não tenha sido preparado. Por favor, forneça o número do pedido para que possamos proceder com o cancelamento. (#009)"
Como faço para rastrear meu pedido? (#0010),Você pode rastrear seu pedido através do link enviado por e-mail ou acessar a seção de 'Meus Pedidos' em nosso site. (#0010)
"O entregador não encontrou meu endereço, o que devo fazer? (#0011)","Por favor, verifique se o endereço fornecido está correto e completo. Se necessário, podemos entrar em contato com o entregador para dar mais instruções. (#0011)"
"Recebi um item danificado, como proceder? (#0012)",Pedimos desculpas pelo inconveniente. Poderia nos enviar uma foto do item danificado para que possamos resolver o problema? (#0012)
